NAME OF THE INSTRUMENT,INDUSTRY,ISIN CODE,QUANTITY,MKT VAL(Rs. Lacs),% to NAV,Scheme Code,Scheme Name
ACME SOLAR HOLDINGS LTD.,Power,INE622W01025,3504521,8733.27,0.78,145208,Tata Small Cap Fund-Regular Plan-Growth
ALIVUS LIFE SCIENCES LTD,Pharmaceuticals & Biotechnology,INE03Q201024,797203,8016.67,0.72,145208,Tata Small Cap Fund-Regular Plan-Growth
R R KABEL LTD,Industrial Products,INE777K01022,539278,7272.7,0.65,145208,Tata Small Cap Fund-Regular Plan-Growth
EUREKA FORBES LTD,Consumer Durables,INE0KCE01017,1121339,6684.3,0.6,145208,Tata Small Cap Fund-Regular Plan-Growth
RAMCO INDUSTRIES LTD.,Other Construction Materials,INE614A01028,2281581,6301.73,0.56,145208,Tata Small Cap Fund-Regular Plan-Growth
VARDHMAN SPECIAL STEELS LTD,Industrial Products,INE050M01012,2378601,6231.93,0.56,145208,Tata Small Cap Fund-Regular Plan-Growth
ALLCARGO GLOBAL LOGISTICS LTD.,Transport Services,INE418H01029,17112968,6064.84,0.54,145208,Tata Small Cap Fund-Regular Plan-Growth
MM FORGINGS LTD.,Auto Components,INE227C01017,1576286,6053.73,0.54,145208,Tata Small Cap Fund-Regular Plan-Growth
RALLIS INDIA LTD.,Fertilizers & Agrochemicals,INE613A01020,1735877,5623.37,0.5,145208,Tata Small Cap Fund-Regular Plan-Growth
EVEREADY INDUSTRIES INDIA LTD.,Household Products,INE128A01029,1772916,5566.96,0.5,145208,Tata Small Cap Fund-Regular Plan-Growth
NATCO PHARMA LTD.,Pharmaceuticals & Biotechnology,INE987B01026,549064,5087.9,0.46,145208,Tata Small Cap Fund-Regular Plan-Growth
GANESHA ECOSPHERE LTD.,Textiles & Apparels,INE845D01014,336348,5028.07,0.45,145208,Tata Small Cap Fund-Regular Plan-Growth
NETWEB TECHNOLOGIES INDIA LTD,IT - Services,INE0NT901020,266002,4908.27,0.44,145208,Tata Small Cap Fund-Regular Plan-Growth
BLUSPRING ENTERPRISES LTD.,Commercial Services & Supplies,INE0U4101014,4804600,3648.61,0.33,145208,Tata Small Cap Fund-Regular Plan-Growth
BALRAMPUR CHINI MILLS LTD.,Agricultural Food & other Products,INE119A01028,502135,2981.93,0.27,145208,Tata Small Cap Fund-Regular Plan-Growth
AUTOMOTIVE AXLES LTD.,Auto Components,INE449A01011,143392,2567,0.23,145208,Tata Small Cap Fund-Regular Plan-Growth
TRANSINDIA REAL ESTATE LIMITED,Transport Services,INE0O3901029,3095712,1103.62,0.1,145208,Tata Small Cap Fund-Regular Plan-Growth
